,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
18651,Toyota,Allion,2015,White,2050000,Foreign Used,Automatic,38000.0
18652,Land,Rover,1997,White,2200000,Foreign Used,Manual,210000.0
18653,Nissan,Skyline,2016,White,2450000,Foreign Used,Automatic,97806.0
18654,Suzuki,Alto,2016,Blue,650000,Foreign Used,Automatic,42000.0
18655,Subaru,Forester,2016,Silver,3100000,Foreign Used,AMT,71000.0
18656,Toyota,Land,2016,White,11200000,Foreign Used,Automatic,120000.0
18657,Nissan,Note,2015,Silver,900000,Kenyan Used,Automatic,160704.0
18658,Isuzu,Tougher,2000,White,570000,Kenyan Used,Manual,425000.0
18659,Volvo,V60,2015,White,1650000,Kenyan Used,Automatic,
18660,Nissan,Note,2011,Blue,560000,Kenyan Used,Automatic,180500.0
18661,Mazda,Atenza,2016,Brown,2280000,Foreign Used,Automatic,
18662,Mazda,Atenza,2017,Black,2450000,Foreign Used,Automatic,
18663,Volkswagen,Golf,2010,Black,1350000,Kenyan Used,Automatic,
18664,Toyota,Land,2012,White,5500000,Kenyan Used,Automatic,85000.0
18665,Toyota,Land,2005,Ivory,1050000,Kenyan Used,Automatic,251000.0
18666,Toyota,Land,2013,Black,3500000,Kenyan Used,Automatic,
18667,Toyota,Premio,2014,Gray,1390000,Kenyan Used,Automatic,93147.0
18668,Land,Rover,2016,White,10200000,Foreign Used,Automatic,72000.0
18669,Nissan,Sunny,2002,Silver,475000,Kenyan Used,Manual,121003.0
18670,Suzuki,Alto,2015,White,650000,Foreign Used,Automatic,84000.0
18671,Toyota,Land,2016,Black,11200000,Foreign Used,Automatic,
18672,Toyota,Ractis,2010,Blue,650000,Kenyan Used,Automatic,81000.0
18673,Nissan,Note,2015,Gold,1050000,Foreign Used,Automatic,
18674,Subaru,Outback,2012,Black,1590000,Kenyan Used,Automatic,95000.0
18675,Toyota,Ractis,2015,Blue,1300000,Foreign Used,Automatic,96000.0
18676,Nissan,X-Trail,2015,Black,1990000,Kenyan Used,Automatic,113000.0
18677,Mercedes-Benz,A-Class,2016,White,2199000,Foreign Used,Automatic,
18678,Honda,CR-V,2007,Silver,789000,Kenyan Used,Automatic,
18679,Toyota,Rush,2015,Blue,2200000,Foreign Used,Automatic,118000.0
18680,Toyota,Vitz,2016,Gray,1245000,Foreign Used,Automatic,84000.0
18681,Toyota,Alphard,nan,Black,3500000,Foreign Used,Automatic,126457.0
18682,Toyota,Hilux,2006,Silver,2000000,Kenyan Used,Automatic,180000.0
18683,Toyota,Corolla,1999,Silver,395000,Kenyan Used,Automatic,
18684,Honda,Stepwgn,nan,white,1750000,Foreign Used,Automatic,95800.0
18685,Toyota,Vitz,2016,Silver,1235000,Foreign Used,Automatic,89000.0
18686,Toyota,Sienta,2015,Gray,1400000,Foreign Used,Automatic,120000.0
18687,Toyota,Premio,2008,White,1080000,Kenyan Used,Automatic,144000.0
18688,Mercedes-Benz,E250,2016,Black,4350000,Foreign Used,Automatic,40000.0
18689,Mazda,CX-5,2017,White,3300000,Foreign Used,Automatic,57256.0
18690,Audi,A5,2016,Black,2950000,Kenyan Used,Automatic,
18691,Toyota,Ipsum,2005,Silver,260000,Kenyan Used,Automatic,193250.0
18692,Toyota,Vitz,2000,Pink,280000,Kenyan Used,Automatic,
18693,Nissan,Hardbody,2002,White,1100000,Kenyan Used,Manual,
18694,Subaru,XV,2015,Black,1900000,Foreign Used,Automatic,98000.0
18695,Nissan,Serena,2016,Black,1600000,Foreign Used,Automatic,77000.0
18696,Subaru,Forester,2008,Black,1150000,Kenyan Used,Automatic,106231.0
18697,Toyota,Probox,2015,White,880000,Kenyan Used,Automatic,
18698,Mazda,Demio,2012,Purple,550000,Kenyan Used,Automatic,
18699,Mitsubishi,Pajero,2006,Silver,2000000,Kenyan Used,Automatic,121350.0
18700,Subaru,Forester,2016,Blue,2980000,Foreign Used,Automatic,93000.0
18701,Toyota,Wish,2016,Gray,1800000,Foreign Used,Automatic,
18702,Nissan,Vanette,2008,Silver,530000,Kenyan Used,Automatic,133000.0
18703,Mercedes-Benz,GLC-Class,2016,Blue,6200000,Foreign Used,Automatic,62000.0
18704,Nissan,NP300,2012,White,1299000,Kenyan Used,Manual,200000.0
18705,Toyota,Wish,2004,Black,699000,Kenyan Used,Automatic,185000.0
